""
"Test Method","Tensile test (ROUND specimen).msm"
"Sample I. D.","MaterialX_RT_1mm_min_fi64.mss"
"Specimen Number","4"

"Time (s)","Extension (mm)","Strain (%)","Load (N)","Stress (MPa)"
103.284,0.21581,2.15811,9667.68401,304.31148
103.540,0.21636,2.16360,9669.48623,304.36821
103.796,0.21695,2.16950,9683.02236,304.79429
104.052,0.21751,2.17509,9678.55577,304.65369
104.308,0.21805,2.18051,9684.00507,304.82522
104.564,0.21861,2.18614,9689.82926,305.00855
104.820,0.21919,2.19195,9697.90940,305.26289
105.076,0.21972,2.19716,9706.73185,305.54059
105.332,0.22033,2.20329,9709.30391,305.62156
105.588,0.22080,2.20798,9707.67221,305.57019
105.844,0.22132,2.21320,9722.95519,306.05126
106.100,0.22191,2.21910,9736.64009,306.48202
106.356,0.22242,2.22419,9740.51162,306.60389
106.612,0.22297,2.22971,9745.63143,306.76504
106.868,0.22350,2.23502,9753.53571,307.01385
107.124,0.22407,2.24071,9753.42834,307.01047
107.380,0.22460,2.24596,9767.72789,307.46058
107.636,0.22507,2.25070,9777.52518,307.76897
107.892,0.22573,2.25728,9783.77645,307.96574
108.148,0.22628,2.26277,9794.67756,308.30888
108.404,0.22685,2.26845,9798.95397,308.44349
108.660,0.22731,2.27307,9805.96231,308.66409
108.916,0.22795,2.27953,9815.12565,308.95253
109.172,0.22853,2.28534,9821.39910,309.15000
109.428,0.22913,2.29125,9830.11210,309.42426
109.684,0.22973,2.29731,9832.64543,309.50400
109.940,0.23039,2.30392,9835.26600,309.58649
110.196,0.23100,2.30999,9845.27794,309.90164
110.452,0.23151,2.31511,9855.42069,310.22090
110.708,0.23211,2.32111,9865.25813,310.53056
110.964,0.23263,2.32628,9868.48529,310.63214
111.220,0.23318,2.33184,9873.82332,310.80016
111.476,0.23382,2.33818,9883.39726,311.10152
111.732,0.23446,2.34460,9892.66484,311.39324
111.988,0.23504,2.35042,9900.66177,311.64496
112.244,0.23544,2.35440,9901.90261,311.68402
112.500,0.23608,2.36080,9912.32650,312.01214
112.756,0.23662,2.36622,9918.97688,312.22147
113.012,0.23718,2.37177,9921.86224,312.31229
113.268,0.23775,2.37753,9926.38780,312.45475
113.524,0.23820,2.38203,9932.86339,312.65858
113.780,0.23884,2.38836,9936.72987,312.78028
114.036,0.23938,2.39377,9954.73591,313.34706
114.292,0.23993,2.39928,9961.82583,313.57024
114.548,0.24057,2.40569,9958.13398,313.45403
114.804,0.24105,2.41049,9974.60377,313.97245
115.060,0.24161,2.41615,9981.45866,314.18822
115.316,0.24222,2.42218,9990.79616,314.48214
115.572,0.24281,2.42812,9995.28433,314.62341
115.828,0.24346,2.43456,9999.37433,314.75216
116.084,0.24401,2.44009,10002.10249,314.83803
116.340,0.24454,2.44542,10006.25749,314.96882
116.596,0.24510,2.45100,10008.70088,315.04573
116.852,0.24565,2.45649,10022.19551,315.47050
117.108,0.24619,2.46189,10031.66962,315.76872
117.364,0.24681,2.46809,10032.11248,315.78266
117.620,0.24745,2.47452,10038.50417,315.98385
117.876,0.24802,2.48023,10048.10718,316.28613
118.132,0.24865,2.48645,10056.34289,316.54537
118.388,0.24931,2.49311,10057.94253,316.59572
118.644,0.24981,2.49810,10065.17352,316.82333
118.900,0.25040,2.50397,10063.64282,316.77515
